Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.2,0.0
1995,P.5,Formación bruta de capital,05.2,340.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.2,0.0
1995,D.9," Transferencias de capital, a pagar",05.2,11.0
1995,D.1,Remuneración de asalariados,05.3,56.0
1995,P.2,Consumos intermedios,05.3,181.0
1995,D.29,Otros impuestos sobre la producción,05.3,0.0
1995,D.3,Subvenciones,05.3,10.0
1995,D.4,Rentas de la propiedad,05.3,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.3,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.3,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.3,0.0
1995,D.7,Otras transferencias corrientes,05.3,3.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.3,0.0
1995,P.5,Formación bruta de capital,05.3,46.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.3,1.0
1995,D.9," Transferencias de capital, a pagar",05.3,11.0
1995,D.1,Remuneración de asalariados,05.4,135.0
1995,P.2,Consumos intermedios,05.4,64.0
1995,D.29,Otros impuestos sobre la producción,05.4,0.0
1995,D.3,Subvenciones,05.4,4.0
1995,D.4,Rentas de la propiedad,05.4,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.4,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.4,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.4,0.0
1995,D.7,Otras transferencias corrientes,05.4,5.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.4,0.0
1995,P.5,Formación bruta de capital,05.4,252.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.4,4.0
1995,D.9," Transferencias de capital, a pagar",05.4,24.0
1995,D.1,Remuneración de asalariados,05.5,42.0
1995,P.2,Consumos intermedios,05.5,14.0
1995,D.29,Otros impuestos sobre la producción,05.5,0.0
1995,D.3,Subvenciones,05.5,0.0
1995,D.4,Rentas de la propiedad,05.5,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.5,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.5,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.5,0.0
1995,D.7,Otras transferencias corrientes,05.5,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.5,0.0
1995,P.5,Formación bruta de capital,05.5,70.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.5,0.0
1995,D.9," Transferencias de capital, a pagar",05.5,3.0
1995,D.1,Remuneración de asalariados,05.6,58.0
1995,P.2,Consumos intermedios,05.6,16.0
1995,D.29,Otros impuestos sobre la producción,05.6,0.0
1995,D.3,Subvenciones,05.6,23.0
1995,D.4,Rentas de la propiedad,05.6,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.6,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.6,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.6,0.0
1995,D.7,Otras transferencias corrientes,05.6,1.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.6,0.0
1995,P.5,Formación bruta de capital,05.6,83.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.6,-1.0
1995,D.9," Transferencias de capital, a pagar",05.6,3.0
1995,D.1,Remuneración de asalariados,06.1,86.0
1995,P.2,Consumos intermedios,06.1,76.0
1995,D.29,Otros impuestos sobre la producción,06.1,0.0
1995,D.3,Subvenciones,06.1,95.0
1995,D.4,Rentas de la propiedad,06.1,0.0
